"_id"	count
TridentSDK/TridentSDK	4
swagger-api/swagger-inflector	4
perfectsense/dari	4
go-ive/steam-api	4
twitter/GraphJet	4
rickfast/consul-client	4
Adobe-Consulting-Services/acs-aem-commons	4
GeoWebCache/geowebcache	4
SciGraph/SciGraph	4
zolyfarkas/spf4j	4
OrbitzWorldwide/consul-client	4
eclipse/rdf4j	4
kermitt2/grobid	3
square/javapoet	3
knightliao/disconf	3
debezium/debezium	3
keycloak/keycloak	3
apache/opennlp	3
pac4j/pac4j	3
JSQLParser/JSqlParser	3
spotify/cassandra-reaper	3
jcabi/jcabi-http	3
jenkinsci/jacoco-plugin	3
jhy/jsoup	3
FasterXML/jackson-core	3
qos-ch/logback	3
NLPchina/elasticsearch-sql	3
synhershko/HebMorph	3
tananaev/traccar	3
sismics/reader	3
javaparser/javaparser	3
aws/aws-dynamodb-session-tomcat	2
INL/BlackLab	2
apache/commons-imaging	2
rhuss/jolokia	2
apereo/java-cas-client	2
Azure/azure-sdk-for-java	2
datastax/java-driver	2
docker-java/docker-java	2
jmxtrans/jmxtrans	2
apache/syncope	2
fabric8io/docker-maven-plugin	2
ttrelle/spring-data-examples	2
aerogear/aerogear-unifiedpush-server	2
sockeqwe/ParcelablePlease	2
bbottema/simple-java-mail	2
flaxsearch/luwak	2
ocpsoft/rewrite	2
sakserv/hadoop-mini-clusters	2
apache/commons-net	2
prometheus/client_java	2
rinde/RinSim	2
pholser/junit-quickcheck	2
spring-cloud/spring-cloud-stream	2
square/retrofit	2
hcoles/pitest	2
sstrickx/yahoofinance-api	2
jhannes/eaxy	2
x-stream/xstream	2
arquillian/arquillian-cube	2
spring-projects/spring-data-examples	2
abashev/vfs-s3	2
google/error-prone	2
togglz/togglz	2
protegeproject/webprotege	2
graphaware/neo4j-framework	2
undera/jmeter-plugins	2
IDPF/epubcheck	1
graphhopper/jsprit	1
OpenSextant/SolrTextTagger	1
tipsy/j2html	1
apache/tinkerpop	1
getsentry/sentry-java	1
b3log/symphony	1
oracle/opengrok	1
apache/metron	1
FINRAOS/DataGenerator	1
FasterXML/jackson-databind	1
confluentinc/examples	1
openwide-java/artifact-listener	1
pmwmedia/tinylog	1
openzipkin/brave	1
alibaba/java-dns-cache-manipulator	1
fayder/restcountries	1
jwtk/jjwt	1
OWASP/java-html-sanitizer	1
pac4j/play-pac4j	1
mitreid-connect/OpenID-Connect-Java-Spring-Server	1
jbake-org/jbake	1
find-sec-bugs/find-sec-bugs	1
phax/ph-css	1
ops4j/org.ops4j.pax.wicket	1
HubSpot/Baragon	1
phax/jcodemodel	1
rackerlabs/blueflood	1
MoriTanosuke/glacieruploader	1
Tillerino/Tillerinobot	1
jpush/jpush-api-java-client	1
apache/commons-math	1
apache/httpcomponents-client	1
tomp2p/TomP2P	1
code4craft/webmagic	1
junit-team/junit4	1
xmlunit/xmlunit	1
google/google-http-java-client	1
ngageoint/geowave	1
square/wire	1
windy1/google-places-api-java	1
doanduyhai/Achilles	1
FasterXML/woodstox	1
CloudSlang/cloud-slang	1
infinitest/infinitest	1
linqs/psl	1
jcabi/jcabi-ssh	1
kaitoy/pcap4j	1
BrynCooke/cdi-unit	1
julman99/gson-fire	1
Multiverse/Multiverse-Core	1
datacleaner/DataCleaner	1
spring-projects/spring-petclinic	1
cardillo/joinery	1
aws/aws-sdk-java	1
Mashape/unirest-java	1
perwendel/spark	1
spinscale/dropwizard-jobs	1
LiveRamp/hank	1
ninjaframework/ninja	1
apache/commons-csv	1
opensagres/xdocreport	1
cpesch/RouteConverter	1
demoiselle/framework	1
cdk/cdk	1
