"_id"	count	nbPR
Treeptik/cloudunit	17	0
support-project/knowledge	17	6
everit-org/json-schema	17	1
prometheus/client_java	16	10
stanfordnlp/CoreNLP	16	5
confluentinc/examples	16	8
jcabi/jcabi-github	16	2
openpnp/openpnp	16	4
yusuke/twitter4j	16	16
cbeust/testng	15	9
perwendel/spark	15	10
OpenGrok/OpenGrok	15	13
stanford-futuredata/macrobase	15	2
apache/commons-lang	15	6
apache/accumulo	15	8
apache/commons-math	15	7
javaee-samples/javaee7-samples	15	1
eclipse/rdf4j	14	12
swagger-api/swagger-core	14	10
mp911de/lettuce	14	1
apache/incubator-metron	14	13
bitcoinj/bitcoinj	14	14
buchen/portfolio	14	12
FasterXML/jackson-databind	14	0
spotify/folsom	14	6
yandex-qatools/postgresql-embedded	13	12
javaparser/javaparser	13	13
TestFX/TestFX	13	2
datastax/java-driver	13	4
ethereum/ethereumj	13	5
spring-projects/spring-integration	13	13
konsoletyper/teavm	13	5
relayrides/pushy	13	7
hcoles/pitest	13	1
fcrepo4/fcrepo4	13	11
GeoWebCache/geowebcache	13	13
synhershko/HebMorph	12	0
brettwooldridge/HikariCP	12	2
lukas-krecan/JsonUnit	12	3
broadinstitute/picard	12	10
rackerlabs/blueflood	12	7
CloudSlang/cloud-slang	12	5
swagger-api/swagger-inflector	12	12
JnRouvignac/AutoRefactor	12	1
tabulapdf/tabula-java	11	6
jnr/jnr-posix	11	1
testcontainers/testcontainers-java	11	1
jdbi/jdbi	11	6
p6spy/p6spy	11	6
Azure/azure-sdk-for-java	11	9
apache/rocketmq	10	3
alibaba/java-dns-cache-manipulator	10	0
google/auto	10	10
spring-projects/spring-hateoas	10	3
bootique/bootique	10	7
googlemaps/google-maps-services-java	10	0
lenskit/lenskit	10	8
killbill/killbill	10	0
capitalone/Hygieia	10	7
jwtk/jjwt	10	8
graphaware/neo4j-to-elasticsearch	10	2
spotify/cassandra-reaper	10	0
eclipse/kura	9	8
google/closure-compiler	9	9
square/retrofit	9	8
dita-ot/dita-ot	9	9
apereo/cas	9	1
Netflix/Fenzo	9	5
spotify/heroic	9	8
ops4j/org.ops4j.pax.wicket	9	0
spring-cloud/spring-cloud-stream	9	4
l0rdn1kk0n/wicket-bootstrap	9	4
