"_id"	count	nbPR
treasure-data/digdag	23.0	11.0
reactor/reactor-core	23.0	10.0
swagger-api/swagger-codegen	22.0	19.0
openzipkin/brave	22.0	11.0
locationtech/geogig	22.0	12.0
DozerMapper/dozer	21.0	17.0
embulk/embulk	21.0	13.0
alibaba/dubbo	21.0	5.0
zeromq/jeromq	21.0	12.0
Adobe-Consulting-Services/acs-aem-commons	21.0	17.0
spring-cloud/spring-cloud-dataflow	21.0	18.0
Flipkart/foxtrot	21.0	8.0
SonarSource/sonar-java	21.0	3.0
allegro/hermes	20.0	10.0
omnifaces/omnifaces	20.0	0.0
twitter/GraphJet	20.0	3.0
apache/incubator-samoa	19.0	15.0
sarl/sarl	19.0	1.0
EdwardRaff/JSAT	18.0	0.0
glowroot/glowroot	18.0	3.0
NLPchina/elasticsearch-sql	18.0	5.0
jcabi/jcabi-http	18.0	10.0
shardingjdbc/sharding-jdbc	17.0	0.0
apache/pdfbox	17.0	0.0
uber/tchannel-java	17.0	3.0
dangdangdotcom/elastic-job	17.0	4.0
nutzam/nutz	17.0	4.0
Treeptik/cloudunit	17.0	0.0
support-project/knowledge	17.0	6.0
everit-org/json-schema	17.0	1.0
prometheus/client_java	16.0	10.0
stanfordnlp/CoreNLP	16.0	5.0
confluentinc/examples	16.0	8.0
jcabi/jcabi-github	16.0	2.0
openpnp/openpnp	16.0	4.0
yusuke/twitter4j	16.0	16.0
cbeust/testng	15.0	9.0
perwendel/spark	15.0	10.0
OpenGrok/OpenGrok	15.0	13.0
stanford-futuredata/macrobase	15.0	2.0
apache/commons-lang	15.0	6.0
apache/accumulo	15.0	8.0
apache/commons-math	15.0	7.0
javaee-samples/javaee7-samples	15.0	1.0
eclipse/rdf4j	14.0	12.0
swagger-api/swagger-core	14.0	10.0
mp911de/lettuce	14.0	1.0
apache/incubator-metron	14.0	13.0
bitcoinj/bitcoinj	14.0	14.0
buchen/portfolio	14.0	12.0
FasterXML/jackson-databind	14.0	0.0
spotify/folsom	14.0	6.0
yandex-qatools/postgresql-embedded	13.0	12.0
javaparser/javaparser	13.0	13.0
TestFX/TestFX	13.0	2.0
datastax/java-driver	13.0	4.0
ethereum/ethereumj	13.0	5.0
spring-projects/spring-integration	13.0	13.0
konsoletyper/teavm	13.0	5.0
relayrides/pushy	13.0	7.0
hcoles/pitest	13.0	1.0
fcrepo4/fcrepo4	13.0	11.0
GeoWebCache/geowebcache	13.0	13.0
synhershko/HebMorph	12.0	0.0
brettwooldridge/HikariCP	12.0	2.0
lukas-krecan/JsonUnit	12.0	3.0
broadinstitute/picard	12.0	10.0
rackerlabs/blueflood	12.0	7.0
CloudSlang/cloud-slang	12.0	5.0
swagger-api/swagger-inflector	12.0	12.0
JnRouvignac/AutoRefactor	12.0	1.0
tabulapdf/tabula-java	11.0	6.0
jnr/jnr-posix	11.0	1.0
testcontainers/testcontainers-java	11.0	1.0
jdbi/jdbi	11.0	6.0
p6spy/p6spy	11.0	6.0
Azure/azure-sdk-for-java	11.0	9.0
apache/rocketmq	10.0	3.0
